time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-02T05:00:28.610Z,40.2493324,-122.3753357,18.24,1.56,md,4,160,0.1754,0,nc,nc73204651,2019-07-02T05:04:02.957Z,"14km WNW of Red Bluff, CA",earthquake,0.87,2.45,0.12,6,automatic,nc,nc
2019-07-02T04:56:52.710Z,66.2564,-157.2845,8.7,1.2,ml,,,,0.62,ak,ak0198eq2cxt,2019-07-02T05:01:36.681Z,"74km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-02T04:48:57.480Z,34.065,-117.499,3.22,1.13,ml,36,55,0.04984,0.21,ci,ci38440047,2019-07-02T04:52:42.433Z,"5km SW of Fontana, CA",earthquake,0.29,0.47,0.212,28,automatic,ci,ci
2019-07-02T04:32:04.127Z,60.2669,-152.4363,95.9,1.8,ml,,,,0.36,ak,ak0198epx3za,2019-07-02T04:40:41.618Z,"29km SE of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-02T04:18:30.450Z,36.8422,-117.5687,0.9,0.1,ml,7,231.7,0.179,0.14,nn,nn00688991,2019-07-02T04:21:47.920Z,"51km ENE of Lone Pine, California",earthquake,,12.3,,,automatic,nn,nn
2019-07-02T04:09:11.719Z,59.94,-139.562,1.1,1.9,ml,,,,0.75,ak,ak0198eps75j,2019-07-02T04:16:25.377Z,"44km NNE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-02T04:07:14.730Z,-31.2586,-175.4206,10,5.2,mb,,107,2.956,0.93,us,us700048hx,2019-07-02T04:22:54.040Z,"Kermadec Islands region",earthquake,11.4,2,0.131,19,reviewed,us,us
2019-07-02T03:46:22.488Z,59.9596,-139.7299,0,1.3,ml,,,,1.18,ak,ak0198epepuw,2019-07-02T03:49:39.740Z,"45km N of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-02T03:24:03.540Z,33.5076667,-116.4995,13.41,0.67,ml,15,88,0.06362,0.19,ci,ci38439991,2019-07-02T03:27:37.564Z,"17km ESE of Anza, CA",earthquake,0.56,0.73,0.107,12,automatic,ci,ci
2019-07-02T03:21:19.070Z,38.8414993,-122.8291702,1.94,0.57,md,12,110,0.005725,0.01,nc,nc73204616,2019-07-02T03:30:04.733Z,"9km WNW of Cobb, CA",earthquake,0.28,0.9,,1,automatic,nc,nc
2019-07-02T03:21:09.320Z,38.8408318,-122.829834,1.98,0.57,md,8,111,0.00495,0.01,nc,nc73204611,2019-07-02T04:09:04.966Z,"10km WNW of Cobb, CA",earthquake,0.37,0.96,,1,automatic,nc,nc
2019-07-02T03:20:18.330Z,34.0315,-117.5058333,3.1,0.92,ml,23,89,0.04223,0.16,ci,ci38439983,2019-07-02T03:24:01.544Z,"3km NW of Glen Avon, CA",earthquake,0.22,0.28,0.164,28,automatic,ci,ci
2019-07-02T03:05:00.260Z,38.8348351,-122.7836685,1.7,0.97,md,16,62,0.006318,0.03,nc,nc73204601,2019-07-02T03:59:01.909Z,"5km WNW of Cobb, CA",earthquake,0.23,0.36,0.1,4,automatic,nc,nc
2019-07-02T02:49:24.345Z,61.2125,-146.8308,23.9,1.4,ml,,,,0.38,ak,ak0198eotxjm,2019-07-02T03:01:50.298Z,"27km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-02T02:46:42.200Z,33.8311667,-117.0068333,7.24,1.1,ml,41,56,0.03981,0.2,ci,ci38439951,2019-07-02T02:50:30.334Z,"7km NW of San Jacinto, CA",earthquake,0.24,0.73,0.193,27,automatic,ci,ci
2019-07-02T02:38:40.292Z,61.4116,-149.9808,24.5,1.8,ml,,,,0.54,ak,ak0198eorlwd,2019-07-02T02:43:36.059Z,"12km S of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-02T02:36:40.650Z,19.4716667,-155.4496667,0.22,2.79,ml,58,42,0.05821,0.14,hv,hv71019281,2019-07-02T03:08:50.860Z,"22km WNW of Volcano, Hawaii",earthquake,0.23,0.42,0.15,34,reviewed,hv,hv
2019-07-02T02:31:07.490Z,38.8231659,-122.7811661,0.04,0.88,md,12,81,0.0099,0.02,nc,nc73204586,2019-07-02T02:42:03.125Z,"5km W of Cobb, CA",earthquake,0.22,0.43,0.03,3,automatic,nc,nc
2019-07-02T02:29:27.090Z,37.1238327,-121.4921646,14.73,1.3,md,11,205,0.04508,0.13,nc,nc73204581,2019-07-02T03:48:04.842Z,"11km ENE of San Martin, CA",earthquake,1.3,1.52,0.26,6,automatic,nc,nc
2019-07-02T02:29:24.079Z,36.55044937,-98.97273254,4.227758884,1.62,ml,11,169.1099854,0.05470263213,0.3274181624,ok,ok2019musm,2019-07-02T02:32:34.116Z,"24km ENE of Mooreland, Oklahoma",earthquake,5.238882106,2.535823871,,8,automatic,ok,ok
2019-07-02T02:29:03.565Z,66.3002,-157.2223,9.4,1.5,ml,,,,1,ak,ak0198eopln9,2019-07-02T02:33:43.252Z,"69km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
